"filename", "language", "JSON", "PostCSS", "PHP", "Markdown", "XML", "Properties", "Batch", "JavaScript", "Shell Script", "Diff", "YAML", "Ignore", "HTML", "reStructuredText", "comment", "blank", "total"
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Match_.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 33
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\MethodCall.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 46
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\New_.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 41
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\NullsafeMethodCall.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 46
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\NullsafePropertyFetch.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 36
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PostDec.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PostInc.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PreDec.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PreInc.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Print_.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\PropertyFetch.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 36
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\ShellExec.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 31
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\StaticCall.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 46
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\StaticPropertyFetch.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 37
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Ternary.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 38
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Throw_.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\UnaryMinus.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\UnaryPlus.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Variable.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\YieldFrom.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Expr\Yield_.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 34
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\FunctionLike.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 41
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\Identifier.php", "PHP", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 13, 86
"c:\Users\alter\gw2-guild-login\vendor\nikic\php-parser\lib\PhpParser\Node\InterpolatedStringPart.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 33
